150;11040;0x3f
150;109608;0x6f
1050;69161;0x12
1050;109608;0x22
106710;108319;0x3a
106710;109588;0x4c
106711;108265;0x9
106712;108266;0x149
106713;108268;0x15
106714;108269;0x15
106714;464275;0x81
106715;68216;0x3a
106715;68216;0x5b
106715;68216;0x7c
106715;68216;0x9d
106715;108270;0x29b
106715;68219;0x2b4
10045;69161;0x12
10045;109608;0x22
106717;175091;0x42
106721;70693;0xe1
106722;70692;0xe1
106723;11141;0x39
106723;68088;0x43
106723;68144;0x5a
106723;109694;0x76
106723;106711;0x7e
106723;11141;0xa4
106723;68088;0xae
106723;68144;0xc5
106723;106728;0xd6
106723;11141;0xf5
106723;68088;0xff
106723;68144;0x116
106723;106711;0x12a
106723;11141;0x15b
106723;68088;0x165
106723;68144;0x17c
106723;106711;0x190
106723;11141;0x1c1
106723;68088;0x1cb
106723;68144;0x1e2
106723;106772;0x1f3
106723;11141;0x212
106723;68088;0x21c
106723;68144;0x233
106723;106784;0x244
106723;11141;0x263
106723;68088;0x26d
106723;68144;0x284
106723;106794;0x295
106723;11141;0x2b4
106723;68088;0x2be
106723;68144;0x2d5
106723;106711;0x2e9
106723;11141;0x32b
106723;68088;0x335
106723;68144;0x34c
106723;106817;0x35d
106723;11141;0x37c
106723;68088;0x386
106723;68144;0x39d
106723;106809;0x3ae
106723;11141;0x3cd
106723;68088;0x3d7
106723;68144;0x3ee
106723;106740;0x3ff
106723;11141;0x41e
106723;68088;0x428
106723;68144;0x43f
106723;106832;0x450
106723;11141;0x46f
106723;68088;0x479
106723;68144;0x490
106723;106711;0x4a4
106724;68121;0x26
106724;68115;0x3d
106724;106711;0x52
106726;108265;0x23
106726;107719;0xb5
106726;106712;0xc6
10046;92280;0xf
10046;41976;0x68
10046;92240;0x81
10046;109608;0x93
10046;109616;0x9f
10046;109694;0xbc
10046;109608;0xec
10046;109615;0xf8
106727;107720;0x12
106728;106711;0x9
106729;106712;0xc3
106730;68121;0x26
106730;68115;0x3d
106730;106711;0x52
106731;106713;0x15
106732;68216;0x31
106732;68216;0x53
106732;106715;0x74
106732;68219;0x8d
106733;106717;0x35
106733;175091;0x55
106734;106718;0xd
106735;106719;0x35
10047;13254;0x3b
10047;109608;0x65
106738;106721;0x10
106739;106722;0x10
106740;106711;0x9
106741;106712;0xc3
106742;68121;0x24
106742;68115;0x3b
